dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
InsectEPGRegularTrain,rf_classifier,42,62,249,601,3,0.2065533749992028,0.704511999999994,1.0,1.0,1.0,ok,
InsectEPGRegularTrain,dtw_1nn,42,62,249,601,3,12.076262916001724,-39.87865600000001,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,lr_classifier,42,17,249,601,3,0.006735582996043377,1.7203200000000152,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,rf_classifier,42,17,249,601,3,0.1960373340116348,0.22937600000000202,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,dtw_1nn,42,17,249,601,3,3.252752167012659,0.0,1.0,1.0,1.0,ok,
InsectWingbeatSound,lr_classifier,42,220,1980,256,11,0.039563083002576604,2.5886720000000025,0.5828282828282828,0.5859693003414369,0.5859693003414369,ok,
InsectWingbeatSound,rf_classifier,42,220,1980,256,11,0.23083091599983163,11.862016000000011,0.6424242424242425,0.640643051647818,0.6406430516478179,ok,
InsectWingbeatSound,dtw_1nn,42,220,1980,256,11,63.9308367499907,-32.129024000000015,0.35505050505050506,0.3581225560759578,0.3581225560759577,ok,
ItalyPowerDemand,lr_classifier,42,67,1029,24,2,0.002894916004152037,0.24575999999999,0.9620991253644315,0.9620968343664436,0.9620959752421981,ok,
ItalyPowerDemand,rf_classifier,42,67,1029,24,2,0.20369437499903142,1.867775999999992,0.9689018464528668,0.9689018170828454,0.9689017289727809,ok,
ItalyPowerDemand,dtw_1nn,42,67,1029,24,2,0.28787170800205786,0.016384000000016385,0.9504373177842566,0.9504326364993894,0.9504312321139293,ok,
LargeKitchenAppliances,lr_classifier,42,375,375,720,3,0.01490291599475313,4.603904,0.392,0.392153634463293,0.392153634463293,ok,
LargeKitchenAppliances,rf_classifier,42,375,375,720,3,0.29534950001107063,9.469952000000006,0.5786666666666667,0.5784421015169714,0.5784421015169714,ok,
LargeKitchenAppliances,dtw_1nn,42,375,375,720,3,185.2911664169951,-99.79494399999999,0.7946666666666666,0.7946036089438578,0.7946036089438578,ok,
Lightning2,lr_classifier,42,60,61,637,2,0.006428874999983236,7.634944000000004,0.7377049180327869,0.7318681318681319,0.7351107908484957,ok,
Lightning2,rf_classifier,42,60,61,637,2,0.2069809999957215,7.733247999999989,0.7704918032786885,0.7674291938997821,0.7696167720275724,ok,
Lightning2,dtw_1nn,42,60,61,637,2,3.1362798339978326,0.049152000000006524,0.8688524590163934,0.8644444444444443,0.866448087431694,ok,
Lightning7,lr_classifier,42,70,73,319,7,0.01387974999670405,0.7864319999999907,0.6575342465753424,0.6083824388172214,0.6278934420089869,ok,
Lightning7,rf_classifier,42,70,73,319,7,0.1937804579938529,2.6869760000000014,0.7534246575342466,0.7235209235209236,0.7358239933582399,ok,
Lightning7,dtw_1nn,42,70,73,319,7,1.145256417003111,0.016384000000002175,0.726027397260274,0.696286548446017,0.7258205318097003,ok,
Mallat,lr_classifier,42,55,2345,1024,8,0.02537766599562019,2.048000000000002,0.823454157782516,0.8147758255774625,0.8138423665177621,ok,
Mallat,rf_classifier,42,55,2345,1024,8,0.21877770900027826,1.523711999999989,0.8567164179104477,0.8337900397418111,0.8325148460376661,ok,
Mallat,dtw_1nn,42,55,2345,1024,8,142.49799220799468,-39.469055999999995,0.9339019189765458,0.9337984790096594,0.9339604790859405,ok,
Meat,lr_classifier,42,60,60,448,3,0.00518233299953863,0.589823999999993,0.9333333333333333,0.9315770677086616,0.9315770677086616,ok,
Meat,rf_classifier,42,60,60,448,3,0.19592549999651965,0.5242879999999985,0.95,0.9497171590194845,0.9497171590194846,ok,
Meat,dtw_1nn,42,60,60,448,3,0.4892753339954652,0.016384000000002175,0.9333333333333333,0.934609250398724,0.934609250398724,ok,
