dataset,model,seed,n_train,n_test,series_length,n_classes,fit_time,predict_time,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
EOGVerticalSignal,mrsqm,42,362,362,1250,12,34.31056854198687,0.0,34.31116645800648,-1165.2628479999994,0.505524861878453,0.4780092185005986,0.4763836462468257,ok,
EthanolLevel,hydra,42,504,500,1751,4,15.43300633400213,0.0,15.434452958987094,2832.7772160000004,0.58,0.5656514726023094,0.5654604681669118,ok,
EthanolLevel,mrsqm,42,504,500,1751,4,69.3408553749905,0.0,69.34160379198147,-2783.3794559999997,0.654,0.6443617869840483,0.6445215401273283,ok,
FaceAll,hydra,42,560,1690,131,14,3.170461083005648,0.0,3.1713682079862338,906.8052479999997,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,
FaceAll,mrsqm,42,560,1690,131,14,8.800893542007543,0.0,8.801404957979685,289.01376000000073,0.7928994082840237,0.8280115658105324,0.7690588899282613,ok,
FaceFour,hydra,42,24,88,350,4,0.40322566698887385,0.0,0.4046273340063635,6.750208000000384,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,
FaceFour,mrsqm,42,24,88,350,4,1.5418345840007532,0.0,1.542313167010434,29.73696000000018,0.9886363636363636,0.9903810580836108,0.9886321595533581,ok,
FacesUCR,hydra,42,200,2050,131,14,3.1312501250067726,0.0,3.132202334003523,732.7252479999997,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,
FacesUCR,mrsqm,42,200,2050,131,14,8.207354042009683,0.0,8.207816375012044,307.87174400000004,0.9482926829268292,0.9272243346655681,0.9464693252774584,ok,
FiftyWords,hydra,42,450,455,270,50,2.382803790998878,0.0,2.383781916985754,0.3604480000003605,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,
FiftyWords,mrsqm,42,450,455,270,50,9.226881332986522,0.0,9.227250916999765,-654.2622719999999,0.7956043956043956,0.6737741971374223,0.7759242297226052,ok,
Fish,hydra,42,175,175,463,7,1.3616918330080807,0.0,1.3626527499873191,228.24550400000044,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,
Fish,mrsqm,42,175,175,463,7,5.7028095409914386,0.0,5.703217582980869,-1341.35808,0.9828571428571429,0.9814638899037876,0.9825901838996468,ok,
FordA,hydra,42,3601,1320,500,2,28.721010584005853,0.0,28.722063791996334,-325.9432960000004,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,
FordA,mrsqm,42,3601,1320,500,2,90.78141795899137,0.0,90.78278079198208,-501.59616000000005,0.9575757575757575,0.957544178865823,0.95758102069408,ok,
FordB,hydra,42,3636,810,500,2,25.480405499984045,0.0,25.482121332985116,881.8196479999997,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,
FordB,mrsqm,42,3636,810,500,2,84.09659825000563,0.0,84.09809591699741,-36.38886399999956,0.8246913580246914,0.8243443839683324,0.82442148931419,ok,
FreezerRegularTrain,hydra,42,150,2850,301,2,9.11953187501058,0.0,9.120586957986234,3085.4184960000002,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,
FreezerRegularTrain,mrsqm,42,150,2850,301,2,24.34686083300039,0.0,24.347301166999387,-2760.0322560000004,0.9954385964912281,0.9954385015828584,0.9954385015828584,ok,
FreezerSmallTrain,hydra,42,28,2850,301,2,8.896339416998671,0.0,8.897406250005588,1113.0470399999995,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,
FreezerSmallTrain,mrsqm,42,28,2850,301,2,22.85095758299576,0.0,22.85126841699821,-2136.7357439999996,0.9589473684210527,0.9589473229333219,0.9589473229333219,ok,
Fungi,hydra,42,18,186,201,18,0.40105750001384877,0.0,0.40205049997894093,35.96288000000004,1.0,1.0,1.0,ok,
Fungi,mrsqm,42,18,186,201,18,1.413164749974385,0.0,1.4136228330025915,58.65472,1.0,1.0,1.0,ok,
GestureMidAirD1,hydra,42,208,130,360,26,1.129482749995077,0.0,1.130504208005732,57.524223999999776,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,
GestureMidAirD1,mrsqm,42,208,130,360,26,4.652810250001494,0.0,4.653218499996001,116.52300800000012,0.7538461538461538,0.7355366855366855,0.7355366855366855,ok,
GestureMidAirD2,hydra,42,208,130,360,26,1.1266834170091897,0.0,1.1276377500034869,0.29491200000029494,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,
GestureMidAirD2,mrsqm,42,208,130,360,26,4.670669042010559,0.0,4.671108499984257,30.146559999999226,0.7,0.6950024334639718,0.695002433463972,ok,
GestureMidAirD3,hydra,42,208,130,360,26,1.1325781249906868,0.0,1.1335394159832504,0.1802239999997255,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,
GestureMidAirD3,mrsqm,42,208,130,360,26,4.57937237501028,0.0,4.57983487501042,-1135.5914239999997,0.47692307692307695,0.44496997604285055,0.4449699760428505,ok,
GesturePebbleZ1,hydra,42,132,172,455,6,1.296145542000886,0.0,1.2972465000057127,178.81497600000012,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,
GesturePebbleZ1,mrsqm,42,132,172,455,6,4.975954791007098,0.0,4.976397749996977,32.55500800000027,0.9069767441860465,0.9020180033548035,0.9058034411447772,ok,
GesturePebbleZ2,hydra,42,146,158,455,6,1.2582687090034597,0.0,1.2592269580054563,26.574847999999747,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,
GesturePebbleZ2,mrsqm,42,146,158,455,6,5.04977520898683,0.0,5.05021683400264,32.964608000000226,0.9430379746835443,0.940782922350719,0.9426308905283375,ok,
GunPoint,hydra,42,50,150,150,2,0.30451495898887515,0.0,0.30544816597830504,4.030464000000393,1.0,1.0,1.0,ok,
GunPoint,mrsqm,42,50,150,150,2,1.178638333978597,0.0,1.1789745000132825,16.334847999999965,1.0,1.0,1.0,ok,
GunPointAgeSpan,hydra,42,135,316,150,2,0.7249499589961488,0.0,0.7258621249930002,24.24832000000015,1.0,1.0,1.0,ok,
GunPointAgeSpan,mrsqm,42,135,316,150,2,2.2421507090039086,0.0,2.242493875004584,19.365887999999813,1.0,1.0,1.0,ok,
GunPointMaleVersusFemale,hydra,42,135,316,150,2,0.7191110830171965,0.0,0.7200139999913517,0.03276800000003277,1.0,1.0,1.0,ok,
GunPointMaleVersusFemale,mrsqm,42,135,316,150,2,2.247232666995842,0.0,2.2475152919942047,17.95686399999977,0.9968354430379747,0.9968282964137668,0.9968359194795887,ok,
GunPointOldVersusYoung,hydra,42,136,315,150,2,0.7304179579950869,0.0,0.7313392910000402,0.0,1.0,1.0,1.0,ok,
GunPointOldVersusYoung,mrsqm,42,136,315,150,2,2.2554888750019018,0.0,2.2558252080052625,17.956864000000223,0.9968253968253968,0.9968171851791976,0.9968248835975095,ok,
Ham,hydra,42,109,105,431,2,0.7956370830070227,0.0,0.7966003339970484,0.016384000000016385,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,
Ham,mrsqm,42,109,105,431,2,3.486103125003865,0.0,3.4865370409970637,29.245440000000144,0.7523809523809524,0.7521786492374728,0.7523809523809524,ok,
HandOutlines,hydra,42,1000,370,2709,2,47.116276459011715,0.0,47.11773516700487,1345.077248,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,
HandOutlines,mrsqm,42,1000,370,2709,2,175.02757145898067,0.0,175.03055537500768,-1459.8307839999998,0.9378378378378378,0.9321647495835028,0.937678779288651,ok,
Haptics,hydra,42,155,308,1092,5,5.450533082999755,0.0,5.452709041011985,1210.4007679999995,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,
Haptics,mrsqm,42,155,308,1092,5,20.006307499977993,0.0,20.00695470898063,-1239.7772800000002,0.5941558441558441,0.579317300442718,0.5786576575510914,ok,
Herring,hydra,42,64,64,512,2,0.6957807910221163,0.0,0.696816666983068,0.19660799999974188,0.734375,0.7262893081761006,0.7351100628930818,ok,
Herring,mrsqm,42,64,64,512,2,2.8012791670043953,0.0,2.8016579170071054,42.696703999999954,0.65625,0.6267232237539766,0.6464077412513256,ok,
HouseTwenty,hydra,42,40,119,2000,2,3.2081037500174716,0.0,3.2094820830097888,515.637248,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,
HouseTwenty,mrsqm,42,40,119,2000,2,13.378579000011086,0.0,13.37906499998644,-873.8734079999999,0.9663865546218487,0.9655072463768115,0.9663865546218487,ok,
InlineSkate,hydra,42,100,550,1882,7,13.839453458000207,0.0,13.841035374993226,2360.5084160000006,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,
InlineSkate,mrsqm,42,100,550,1882,7,48.26466416599578,0.0,48.265202292008325,-3781.6893440000003,0.43636363636363634,0.43214045497575343,0.43309189693111366,ok,
InsectEPGRegularTrain,hydra,42,62,249,601,3,2.1516194580181036,0.0,2.1531924580049235,577.8309119999999,1.0,1.0,1.0,ok,
InsectEPGRegularTrain,mrsqm,42,62,249,601,3,6.869380625023041,0.0,6.86980879199109,125.25567999999976,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,hydra,42,17,249,601,3,1.6496595420176163,0.0,1.651787124981638,0.9011199999999917,1.0,1.0,1.0,ok,
InsectEPGSmallTrain,mrsqm,42,17,249,601,3,5.700473332981346,0.0,5.700884541001869,25.329663999999866,0.9959839357429718,0.9945774659820718,0.9959682152942001,ok,
InsectWingbeatSound,hydra,42,220,1980,256,11,5.2679393329890445,0.0,5.26895870899898,1976.2872319999997,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,
InsectWingbeatSound,mrsqm,42,220,1980,256,11,16.89227512499201,0.0,16.892627374996664,198.36108799999965,0.6434343434343435,0.6379640554675157,0.6379640554675156,ok,
ItalyPowerDemand,hydra,42,67,1029,24,2,0.3129012919962406,0.0,0.3136700420000125,0.19660800000019663,0.967930029154519,0.9679295445422993,0.967929908001464,ok,
ItalyPowerDemand,mrsqm,42,67,1029,24,2,0.8704994169820566,0.0,0.8706603749888018,9.99423999999999,0.9465500485908649,0.9465498466713951,0.9465495437921905,ok,
LargeKitchenAppliances,hydra,42,375,375,720,3,5.34324333400582,0.0,5.344345624995185,11.04281599999922,0.8533333333333334,0.8543657144704723,0.8543657144704723,ok,
LargeKitchenAppliances,mrsqm,42,375,375,720,3,20.514043208007934,0.0,20.514466708002146,-1403.3715199999997,0.8586666666666667,0.8582469919554017,0.8582469919554018,ok,
Lightning2,hydra,42,60,61,637,2,0.8648050420160871,0.0,0.8659090829896741,79.2166400000001,0.7540983606557377,0.7497949138638228,0.7524845681087696,ok,
Lightning2,mrsqm,42,60,61,637,2,3.373707499995362,0.0,3.374109625001438,51.46214400000008,0.8524590163934426,0.848384424192212,0.8504217202928274,ok,
Lightning7,hydra,42,70,73,319,7,0.5076816249929834,0.0,0.5087378339958377,0.3112959999998566,0.8356164383561644,0.8271801298117089,0.8301690298806377,ok,
Lightning7,mrsqm,42,70,73,319,7,1.983479290996911,0.0,1.98385583399795,25.706496000000243,0.7397260273972602,0.7352697869725733,0.739255091572832,ok,
Mallat,hydra,42,55,2345,1024,8,27.754221458017128,0.0,27.75553370799753,1557.1189759999997,0.9437100213219616,0.943069060090566,0.9430972110966555,ok,
Mallat,mrsqm,42,55,2345,1024,8,86.94564799999353,0.0,86.94614220800577,-2885.95968,0.9850746268656716,0.9851455561216935,0.9850560992946469,ok,
Meat,hydra,42,60,60,448,3,0.5832691249961499,0.0,0.5849576669861563,86.57305599999995,0.9,0.898796325625594,0.8987963256255941,ok,
Meat,mrsqm,42,60,60,448,3,2.282935625000391,0.0,2.283293083019089,30.37593599999991,0.9166666666666666,0.9164495505958921,0.9164495505958921,ok,
MedicalImages,hydra,42,381,760,99,10,1.2921176670060959,0.0,1.2930435829912312,437.94431999999983,0.756578947368421,0.6622529026090315,0.7362133974535857,ok,
MedicalImages,mrsqm,42,381,760,99,10,3.686098000005586,0.0,3.686349875002634,125.74720000000025,0.7276315789473684,0.6404177689887998,0.7178584331272343,ok,
MelbournePedestrian,hydra,42,1138,2319,24,10,1.220546957978513,0.0,1.221346625010483,497.05779200000006,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,
MelbournePedestrian,mrsqm,42,1138,2319,24,10,3.018364207993727,0.0,3.0185282079910394,196.5260800000001,0.8973695558430358,0.8934829996730251,0.8972160870730567,ok,
MiddlePhalanxOutlineCorrect,hydra,42,600,291,80,2,0.9079628339968622,0.0,0.9088737080164719,24.54323199999999,0.8384879725085911,0.833970647146655,0.8378291958933088,ok,
MiddlePhalanxOutlineCorrect,mrsqm,42,600,291,80,2,2.362191749998601,0.0,2.362427167012356,27.639807999999903,0.8109965635738832,0.8057103317673623,0.8102256547687655,ok,
MiddlePhalanxOutlineAgeGroup,hydra,42,400,154,80,3,0.5432753750064876,0.0,0.544155707990285,32.702463999999964,0.5714285714285714,0.4834109730848861,0.5557836573364524,ok,
MiddlePhalanxOutlineAgeGroup,mrsqm,42,400,154,80,3,1.7589303750137333,0.0,1.7591534169914667,10.321919999999864,0.5714285714285714,0.486517606105235,0.5558045114612259,ok,
MiddlePhalanxTW,hydra,42,399,154,80,6,0.5225372920103837,0.0,0.5234337080037221,0.2949119999998402,0.577922077922078,0.40956761736074593,0.5595454431867897,ok,
MiddlePhalanxTW,mrsqm,42,399,154,80,6,1.6872802090074401,0.0,1.6875016250123736,10.56768000000011,0.512987012987013,0.3551779519971568,0.4991285626458705,ok,
MixedShapesRegularTrain,hydra,42,500,2425,1024,5,31.633402541978285,0.0,31.63465962500777,3517.1368959999995,0.9814432989690721,0.9811797387823455,0.9814348564752344,ok,
MixedShapesRegularTrain,mrsqm,42,500,2425,1024,5,109.9306765840156,0.0,109.93139525002334,-4224.876544,0.977319587628866,0.9772282854554326,0.9773007857448225,ok,
MixedShapesSmallTrain,hydra,42,100,2425,1024,5,28.366277958004503,0.0,28.36827637499664,4526.227456,0.965360824742268,0.964743750140807,0.9651791453140454,ok,
MixedShapesSmallTrain,mrsqm,42,100,2425,1024,5,90.39073616699898,0.0,90.39130049999221,-4209.852416,0.9587628865979382,0.9591006952926131,0.9586539550591494,ok,
MoteStrain,hydra,42,20,1252,84,2,1.33355133398436,0.0,1.3364990839909296,660.0785919999998,0.9313099041533547,0.930489706960842,0.931080731408388,ok,
MoteStrain,mrsqm,42,20,1252,84,2,2.8658112500270363,0.0,2.8661378329852596,179.9618559999999,0.9472843450479234,0.9468590831918506,0.9472311873159144,ok,
NonInvasiveFetalECGThorax1,hydra,42,1800,1965,750,42,30.410173542011762,0.0,30.411355415999424,2662.023168,0.9399491094147583,0.9352545461841887,0.9383853675557579,ok,
NonInvasiveFetalECGThorax1,mrsqm,42,1800,1965,750,42,107.59107962498092,0.0,107.59316116699483,-3705.257984,0.9231552162849873,0.9179128117703172,0.9223250352470943,ok,
NonInvasiveFetalECGThorax2,hydra,42,1800,1965,750,42,26.74119262502063,0.0,26.744810665986734,6030.508032,0.9587786259541985,0.955370510039305,0.9584315174879305,ok,
NonInvasiveFetalECGThorax2,mrsqm,42,1800,1965,750,42,100.01948749998701,0.0,100.02040620800108,-5529.092096,0.9419847328244275,0.9387752229127522,0.9423536299547866,ok,
OliveOil,hydra,42,30,30,570,4,0.3796863330062479,0.0,0.3810598330164794,4.784128000000237,0.9666666666666667,0.9759725400457666,0.9668192219679634,ok,
OliveOil,mrsqm,42,30,30,570,4,1.5532430410094094,0.0,1.553615415992681,11.665407999999843,0.9666666666666667,0.9759725400457666,0.9668192219679634,ok,
