dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
PigCVP,mps_hydra,42,104,208,2000,52,2.4024386249948293,33.5216640000001,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2200
PigArtPressure,mps_hydra,42,104,208,2000,52,2.4025087500049267,1.8841600000000653,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2200
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.3937227499845903,2.1463039999998728,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2200
HandOutlines,mps_hydra,42,1000,370,2709,2,16.051336916018045,170.99980800000003,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2200
Rock,mps_hydra,42,20,50,2844,4,0.8399117079970893,12.664831999999933,0.92,0.9193970503181029,0.9202955465587044,ok,,2200
SmoothSubspace,cpu_optimised_hydra,42,150,150,15,3,0.03393512501497753,0.3932159999999385,0.96,0.9599966663332999,0.9599966663332999,ok,,2200
MelbournePedestrian,cpu_optimised_hydra,42,1138,2319,24,10,0.8614410419831984,58.83494399999995,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2200
ItalyPowerDemand,cpu_optimised_hydra,42,67,1029,24,2,0.21388570801354945,0.2457600000000184,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2200
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.08285229199100286,8.667136000000028,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2200
Crop,cpu_optimised_hydra,42,7200,16800,46,24,14.693852041003993,1690.7468800000001,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,2200
SyntheticControl,cpu_optimised_hydra,42,300,300,60,6,0.3584974169789348,19.202048000000104,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2200
SwedishLeaf,cpu_optimised_hydra,42,500,625,128,15,1.4687874169903807,66.9941759999997,0.976,0.9761072240505483,0.9758371471811459,ok,,2200
InsectWingbeatSound,cpu_optimised_hydra,42,220,1980,256,11,2.104102707991842,163.4959359999998,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2200
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.16249495800002478,2.3592960000000858,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2200
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,2.051626500004204,51.05254399999967,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2200
UWaveGestureLibraryAll,cpu_optimised_hydra,42,896,3582,945,8,18.92936233401997,-2015.0026240000002,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2200
PigCVP,cpu_optimised_hydra,42,104,208,2000,52,2.902946999995038,30.752767999999833,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2200
PigArtPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8844036660157144,-0.016384000000016385,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2200
PigAirwayPressure,cpu_optimised_hydra,42,104,208,2000,52,2.872942583024269,0.0,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2200
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,16.906342250003945,-411.89375999999993,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2200
Rock,cpu_optimised_hydra,42,20,50,2844,4,0.8994116249959916,0.0327679999998054,0.92,0.9193970503181029,0.9202955465587044,ok,,2200
SmoothSubspace,mps_hydra,42,150,150,15,3,0.04590066598029807,36.19225600000004,0.96,0.9599966663332999,0.9599966663332999,ok,,2400
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.35098362498683855,41.009152000000086,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2400
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.040231166989542544,17.416192000000137,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2400
Chinatown,mps_hydra,42,20,343,24,2,0.013302375009516254,12.18969600000014,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2400
Crop,mps_hydra,42,7200,16800,46,24,5.739207125006942,610.172928,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,2400
SyntheticControl,mps_hydra,42,300,300,60,6,0.1261645829945337,30.85107199999993,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2400
SwedishLeaf,mps_hydra,42,500,625,128,15,0.34596024997881614,47.16953599999988,0.976,0.9761072240505483,0.9758371471811459,ok,,2400
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.410506540996721,43.040767999999844,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2400
FaceFour,mps_hydra,42,24,88,350,4,0.11818720900919288,16.154624000000013,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2400
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.50240266599576,-563.9536640000001,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2400
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,14.618384542001877,-257.17964800000004,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2400
