dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
NonInvasiveFetalECGThorax2,mpshydra,42,1800,1965,750,42,9.615305791994615,2.539520000000266,0.9592875318066157,0.9558558580592719,0.9589434538083931,ok,
OliveOil,mpshydra,42,30,30,570,4,0.167784916004166,21.037055999999666,0.9666666666666667,0.9759725400457666,0.9668192219679634,ok,
OSULeaf,mpshydra,42,200,242,427,6,0.5825023750003311,34.48831999999993,0.987603305785124,0.9849250850261972,0.9875115754896651,ok,
PhalangesOutlinesCorrect,mpshydra,42,1800,858,80,2,0.8043282920043566,16.220160000000305,0.8018648018648019,0.7800875669416703,0.7957349135160685,ok,
Phoneme,mpshydra,42,214,1896,1024,39,6.945101416997204,6.356991999999991,0.32436708860759494,0.15720241070867388,0.2846838685784741,ok,
PickupGestureWiimoteZ,mpshydra,42,50,50,361,10,0.14223429199773818,25.657344000000194,0.84,0.8344483294483295,0.8344483294483296,ok,
PigAirwayPressure,mpshydra,42,104,208,2000,52,2.4180379579993314,8.896511999999802,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,
PigArtPressure,mpshydra,42,104,208,2000,52,2.4136354160000337,1.0158080000001064,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,
PigCVP,mpshydra,42,104,208,2000,52,2.3948990420030896,-4.063231999999971,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,
PLAID,mpshydra,42,537,537,1345,11,5.568256625003414,63.47161599999981,0.8621973929236499,0.8106159988314677,0.8569270708459763,ok,
Plane,mpshydra,42,105,105,144,7,0.13582462500198744,-3.702784000000065,1.0,1.0,1.0,ok,
PowerCons,mpshydra,42,180,180,144,2,0.12609645900374744,-36.78207999999995,0.9722222222222222,0.97222136485694,0.97222136485694,ok,
ProximalPhalanxOutlineCorrect,mpshydra,42,600,291,80,2,0.17363537499477388,0.09830400000009831,0.9106529209621993,0.8896312288481736,0.9073424182670771,ok,
ProximalPhalanxOutlineAgeGroup,mpshydra,42,400,205,80,3,0.121428582999215,3.6864000000000487,0.8682926829268293,0.7971662545531893,0.8696540620251858,ok,
ProximalPhalanxTW,mpshydra,42,400,205,80,6,0.10811124999599997,0.06553600000006554,0.8,0.4992828531621634,0.7705464958366556,ok,
