dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.07145162500091828,55.11577599999998,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,cpu_optimised_hydra,42,467,3840,166,3,6.838218499993673,642.3674879999999,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,,
CinCECGTorso,cpu_optimised_hydra,42,40,1380,1639,4,7.888590165995993,2.375679999999875,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,cpu_optimised_hydra,42,28,28,286,2,0.12364616600098088,0.6717439999999897,1.0,1.0,1.0,ok,,
Computers,cpu_optimised_hydra,42,250,250,720,2,1.1409234579768963,0.21299199999998564,0.712,0.7113349156456475,0.7113349156456474,ok,,
CricketX,cpu_optimised_hydra,42,390,390,300,12,2.4548947910079733,38.99391999999989,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,cpu_optimised_hydra,42,390,390,300,12,2.4553033330012113,-199.39328,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,cpu_optimised_hydra,42,390,390,300,12,2.4446823339967523,0.0,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,cpu_optimised_hydra,42,7200,16800,46,24,12.145568625011947,2385.18272,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,
DiatomSizeReduction,cpu_optimised_hydra,42,16,306,345,4,0.422832207987085,7.929855999999745,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,,
DistalPhalanxOutlineAgeGroup,cpu_optimised_hydra,42,400,139,80,3,0.39907149999635294,17.711103999999978,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,,
DistalPhalanxOutlineCorrect,cpu_optimised_hydra,42,600,276,80,2,0.6743447500048205,61.88236799999959,0.75,0.7333333333333334,0.7444444444444445,ok,,
DistalPhalanxTW,cpu_optimised_hydra,42,400,139,80,6,0.4106386250059586,0.18022400000018024,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,,
DodgerLoopDay,cpu_optimised_hydra,42,67,77,288,7,0.4307510830112733,0.0,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,,
DodgerLoopGame,cpu_optimised_hydra,42,17,127,288,2,0.43583979198592715,3.1457279999999628,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,,
DodgerLoopWeekend,cpu_optimised_hydra,42,18,126,288,2,0.4410358329769224,6.40614400000004,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,,
Earthquakes,cpu_optimised_hydra,42,322,139,512,2,0.8763640000252053,6.881280000000061,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,,
ECG200,cpu_optimised_hydra,42,100,100,96,2,0.1678350829752162,0.0,0.89,0.8765570643025473,0.887963191560992,ok,,
ECG5000,cpu_optimised_hydra,42,500,4500,140,5,7.033006082987413,515.162112,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,,
ECGFiveDays,cpu_optimised_hydra,42,23,861,136,2,1.1989985830150545,53.36268800000016,1.0,1.0,1.0,ok,,
ElectricDevices,cpu_optimised_hydra,42,8926,7711,96,7,21.597777666000184,364.15078399999993,0.7430942808974192,0.6653043941078716,0.7290565579564767,ok,,
EOGHorizontalSignal,cpu_optimised_hydra,42,362,362,1250,12,3.7189874169998802,71.07379200000014,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,,
EOGVerticalSignal,cpu_optimised_hydra,42,362,362,1250,12,3.7413988749904092,0.04915199999959441,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,,
EthanolLevel,cpu_optimised_hydra,42,504,500,1751,4,7.2172096249996684,-1039.1715839999997,0.58,0.5656514726023094,0.5654604681669118,ok,,
FaceAll,cpu_optimised_hydra,42,560,1690,131,14,2.9954558750032447,173.16249599999992,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,,
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.15751550000277348,2.162687999999889,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,
FacesUCR,cpu_optimised_hydra,42,200,2050,131,14,2.9403409590013325,-1050.5584639999997,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,,
FiftyWords,cpu_optimised_hydra,42,450,455,270,50,2.5728382079978473,0.13107200000013108,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,,
Fish,cpu_optimised_hydra,42,175,175,463,7,0.5373659579781815,8.617983999999979,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,,
FordA,cpu_optimised_hydra,42,3601,1320,500,2,11.303599167003995,-9.355264000000261,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,,
FordB,cpu_optimised_hydra,42,3636,810,500,2,10.571516124997288,665.3706240000001,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,,
FreezerRegularTrain,cpu_optimised_hydra,42,150,2850,301,2,9.900789915991481,-813.3836799999999,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,cpu_optimised_hydra,42,28,2850,301,2,9.521405374980532,-691.601408,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,cpu_optimised_hydra,42,18,186,201,18,0.4276700000045821,7.618560000000116,1.0,1.0,1.0,ok,,
GestureMidAirD1,cpu_optimised_hydra,42,208,130,360,26,0.48996937499032356,20.545536000000084,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,cpu_optimised_hydra,42,208,130,360,26,0.4813751250039786,0.0,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
GestureMidAirD3,cpu_optimised_hydra,42,208,130,360,26,0.47961304199998267,0.0,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,,
