dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ArrowHead,hydra,42,36,175,251,3,0.16355158299847972,11.223039999999969,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,
Beef,hydra,42,30,30,470,5,0.09757349999563303,0.03276800000003277,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,
BeetleFly,hydra,42,20,20,512,2,0.0660267500061309,0.16383999999993648,0.9,0.898989898989899,0.898989898989899,ok,
BirdChicken,hydra,42,20,20,512,2,0.07406958300271071,0.0,0.9,0.898989898989899,0.898989898989899,ok,
BME,hydra,42,30,150,128,3,0.21188420800172025,1.0158079999999927,1.0,1.0,1.0,ok,
Car,hydra,42,60,60,577,4,0.23879483400378376,0.08191999999996824,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,
CBF,hydra,42,30,900,128,3,1.0286630420014262,0.08191999999996824,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,
Chinatown,hydra,42,20,343,24,2,0.0692469589994289,44.02380799999992,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,
ChlorineConcentration,hydra,42,467,3840,166,3,7.43464504199801,638.631936,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,
CinCECGTorso,hydra,42,40,1380,1639,4,8.85376641699986,0.6062080000001515,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,
Coffee,hydra,42,28,28,286,2,0.06292362500244053,0.09830400000009831,1.0,1.0,1.0,ok,
Computers,hydra,42,250,250,720,2,1.16085283299617,0.16383999999993648,0.712,0.7113349156456475,0.7113349156456474,ok,
CricketX,hydra,42,390,390,300,12,0.8710902500024531,38.518784000000096,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,
CricketY,hydra,42,390,390,300,12,0.8806194999997388,-222.64217600000006,0.823076923076923,0.825695307994446,0.8233736003233526,ok,
CricketZ,hydra,42,390,390,300,12,0.8671012910053832,0.0,0.8,0.7861281400244713,0.7963029001522246,ok,
Crop,hydra,42,7200,16800,46,24,12.91606504200172,2434.547712,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,
DiatomSizeReduction,hydra,42,16,306,345,4,0.36725133300205925,7.536640000000261,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,
DistalPhalanxOutlineAgeGroup,hydra,42,400,139,80,3,0.38928137499897275,13.172735999999986,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,
DistalPhalanxOutlineCorrect,hydra,42,600,276,80,2,0.6328342920023715,59.12985600000002,0.75,0.7333333333333334,0.7444444444444445,ok,
DistalPhalanxTW,hydra,42,400,139,80,6,0.37789979099761695,0.19660799999974188,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,
DodgerLoopDay,hydra,42,67,77,288,7,0.15099649999319809,0.0,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,
DodgerLoopGame,hydra,42,17,127,288,2,0.15896137499657925,3.1457280000004175,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,
DodgerLoopWeekend,hydra,42,18,126,288,2,0.15094274999864865,0.0,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,
Earthquakes,hydra,42,322,139,512,2,0.7813586670017685,6.897664000000077,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,
ECG200,hydra,42,100,100,96,2,0.17305741699965438,0.0,0.89,0.8765570643025473,0.887963191560992,ok,
ECG5000,hydra,42,500,4500,140,5,7.081579749996308,514.8835839999997,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,
ECGFiveDays,hydra,42,23,861,136,2,1.1827973330000532,53.08415999999988,1.0,1.0,1.0,ok,
ElectricDevices,hydra,42,8926,7711,96,7,21.288313833007123,344.211456,0.7429645960316431,0.6651503308140149,0.728920188549814,ok,
EOGHorizontalSignal,hydra,42,362,362,1250,12,3.336579334005364,-904.6753280000003,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,
EOGVerticalSignal,hydra,42,362,362,1250,12,3.3266992089993437,0.0,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,
EthanolLevel,hydra,42,504,500,1751,4,6.183038667004439,-1077.7559039999999,0.58,0.5656514726023094,0.5654604681669118,ok,
