dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ProximalPhalanxOutlineAgeGroup,mps_hydra,42,400,205,80,3,0.12252629199065268,13.910016000000041,0.8682926829268293,0.7971662545531893,0.8696540620251858,ok,,
ProximalPhalanxTW,mps_hydra,42,400,205,80,6,0.11248749998048879,0.19660799999996925,0.8,0.4992828531621634,0.7705464958366556,ok,,
RefrigerationDevices,mps_hydra,42,375,375,720,3,1.727213500009384,3.4406400000000303,0.4826666666666667,0.47787851561436473,0.4778785156143646,ok,,
Rock,mps_hydra,42,20,50,2844,4,0.9067824170051608,19.578880000000026,0.92,0.9193970503181029,0.9202955465587044,ok,,
ScreenType,mps_hydra,42,375,375,720,3,1.7638040419842582,-559.464448,0.49866666666666665,0.49743029267692945,0.4974302926769295,ok,,
SemgHandGenderCh2,mps_hydra,42,300,600,1500,2,5.041230625007302,64.04505599999993,0.8283333333333334,0.8170509681793019,0.8306806710499438,ok,,
SemgHandMovementCh2,mps_hydra,42,450,450,1500,6,4.975732040998992,13.221888000000035,0.4666666666666667,0.46733168104109096,0.467331681041091,ok,,
SemgHandSubjectCh2,mps_hydra,42,450,450,1500,5,4.984224499989068,1.2779520000001412,0.7666666666666667,0.7656315471160837,0.7656315471160837,ok,,
ShakeGestureWiimoteZ,mps_hydra,42,50,50,385,10,0.15773920799256302,16.154624000000013,0.92,0.9206099456099455,0.9206099456099457,ok,,
ShapeletSim,mps_hydra,42,20,180,500,2,0.28303958298056386,18.759680000000117,0.9833333333333333,0.9833287024173382,0.983328702417338,ok,,
ShapesAll,mps_hydra,42,600,600,512,60,1.753394583996851,26.378240000000005,0.925,0.9236635952514602,0.9236635952514606,ok,,
SmallKitchenAppliances,mps_hydra,42,375,375,720,3,1.7319257079798263,0.45875200000000405,0.8213333333333334,0.8201108300947917,0.8201108300947916,ok,,
